JD,VHELIO,VRELERR
2458823.54916,66.44623916821139,0.08203760873673824
2458890.52893,58.34028322799966,0.07359926365168859
2459154.64645,60.87096870695335,0.12583756899523468
2459143.60752,62.33504541987915,0.06724935180615722
2459147.694,62.1846096800309,0.06660944336638447
2459156.6615,60.71585002798898,0.10256317493246522
2459151.64431,61.356775110569416,0.14312592756412465
2458887.53713,58.57609382199179,0.13569804304658342
2459144.6378,62.27405475755377,0.053874306832762696
2459150.63381,61.536350481233484,0.16962580040690345
2459148.69997,61.877362990596964,0.10066891216100066
2458860.55838,65.20860975550416,0.06939645624099035
2458801.57617,60.94753513831222,0.07090680828103961
2459155.64469,61.015195017093944,0.11843967911984409
2459149.65943,61.51685923404344,0.10061115018565081
2458828.54266,67.37844824293084,0.07432546625946533
2458893.532,58.121289810681176,0.06894228178460768
2458863.54855,64.25359417050157,0.07349303100608809
2458829.54276,67.62902973865474,0.0686064778063512
2458804.53332,61.8002728927473,0.09012798932608836
2459235.52107,63.36232956671884,0.19350125733523157
2459152.64029,61.12397126242537,0.1397029000435487
2459157.64758,60.848605889336866,0.14873980552264204
2458826.54291,67.1158317991766,0.06815659227219704
2459145.62812,62.02950733576094,0.06380635455598446
