JD,VHELIO,VRELERR
2455883.8678,-57.15725072433212,0.03159895634248694
2455905.72506,-56.03477884322713,0.02842664658031902
2455904.69767,-56.05010238967669,0.04308873335068717
2455824.96502,-57.31355584310049,0.03775393837221386
2455877.79872,-57.5602208636521,0.10997314032559452
2457734.67746,-45.360099730656756,0.034446727717093485
2457789.57683,-48.10584531855925,0.033563973823839716
2458437.73591,-43.264082629399624,0.0460513612644927
2458382.97064,-43.729120855993585,0.041046567707078124
2458417.78951,-43.455622540698556,0.04194099130676744
2458054.84577,-51.584777642340114,0.03496671306851662
2459080.99311,-52.26141256661823,0.07754072176645534
2457735.75671,-45.499552539541725,0.04646641489700492
2457788.6146,-48.216067659316415,0.08158285987361492
2458476.76564,-42.92221645625844,0.0419981915720486
2458032.94604,-52.827684999852025,0.05832331461247868
2458496.71118,-43.04408532585882,0.07344898233456168
2458143.57499,-47.924716638704155,0.027968167124188915
2458085.74423,-50.23511633754508,0.035255348738555736
2457760.72304,-46.26528949975526,0.051055589038074445
2458068.82227,-50.93377677400306,0.032580544722067686
2458114.69912,-49.14465278545323,0.06482641865206189
2457732.66222,-45.28591906558884,0.0313655334222372
2458063.81934,-51.20673750369876,0.02941092242936772
2458006.95242,-54.2198391664019,0.0331670417126263
2458451.81416,-43.192515722157665,0.06150861811644884
2458087.74191,-50.087691933467575,0.031102267870167837
2457706.81556,-44.47181028536218,0.039082239461290726
